reservation type, duration 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
daily, 0.16 
